step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,teacher_gradient_norm,preservation_gradient_norm
116,True,,,,0.0012388576287776232,0.0,,,,,,0.0023134504444897175,0.047132477164268494,9.964478522306308e-05,0.008315378800034523,0.0,0.0,0.0,0.0,8.58853745739907e-05,0.0099489242657603,,,
117,True,,,,0.0005797630874440074,0.0,,,,,,0.004612881690263748,0.08205343037843704,6.14391901763156e-05,0.013428707607090473,0.0,0.0,0.0,0.0,9.627809777157381e-05,0.009947845420584247,,,
118,True,,,,0.0009385828161612153,0.0,,,,,,0.00405464880168438,0.06738441437482834,9.665156539995223e-05,0.011779998429119587,0.0,0.0,0.0,0.0,0.00010250263585476205,0.009946755366643523,,,
119,True,,,,0.0005547945620492101,0.0,,,,,,0.002269545802846551,0.0617302767932415,4.4895103201270103e-05,0.009019815362989902,0.0,0.0,0.0,0.0,9.844103624345735e-05,0.00994565410668511,,,
120,True,,,,0.000609019713010639,0.0,,,,,,0.0010277230758219957,0.041858989745378494,5.237882578512654e-05,0.005848831031471491,0.0,0.0,0.0,0.0,9.10105518414639e-05,0.009944541643484232,,,
121,True,,,,0.0004461549688130617,0.0,,,,,,0.0014300848124548793,0.04077928140759468,5.927456004428677e-05,0.005983805283904076,0.0,0.0,0.0,0.0,0.00010126727283932269,0.009943417979844344,,,
122,True,,,,0.0013242082204669714,0.0,,,,,,0.004253010265529156,0.0723097026348114,0.00011531473137438297,0.012865846045315266,0.0,0.0,0.0,0.0,9.126472286880016e-05,0.00994228311859713,,,
123,True,,,,0.0006289302837103605,0.0,,,,,,0.002577565610408783,0.0627644881606102,5.954818334430456e-05,0.009512719698250294,0.0,0.0,0.0,0.0,8.48564668558538e-05,0.009941137062602487,,,
124,True,,,,0.001185934990644455,0.0,,,,,,0.007032573223114014,0.09035038948059082,9.430282807443291e-05,0.017300698906183243,0.0,0.0,0.0,0.0,0.00010896041931118816,0.009939979814748529,,,
125,True,,,,0.0005619032308459282,0.0,,,,,,0.0022327161859720945,0.04428483173251152,6.476770795416087e-05,0.007255486212670803,0.0,0.0,0.0,0.0,7.983026443980634e-05,0.009938811377951568,,,
126,True,,,,0.0008802420343272388,0.0,,,,,,0.003985574468970299,0.07182890176773071,0.00011298764002276585,0.012105201371014118,0.0,0.0,0.0,0.0,0.00013254230725578964,0.009937631755156119,,,
127,True,,,,0.0005408122669905424,0.0,,,,,,0.0042701605707407,0.06933261454105377,5.8650359278544784e-05,0.01177356019616127,0.0,0.0,0.0,0.0,0.00010049971751868725,0.009936440949334878,,,
128,True,,,,0.0005881621036678553,0.0,,,,,,0.0030574174597859383,0.05903070047497749,4.376054130261764e-05,0.0095705296844244,0.0,0.0,0.0,0.0,0.00011269815149717033,0.009935238963488732,,,
129,True,,,,0.0004359737504273653,0.0,,,,,,0.0030141964089125395,0.05217678099870682,4.410159453982487e-05,0.008689898997545242,0.0,0.0,0.0,0.0,9.915384725900367e-05,0.009934025800646737,,,
130,True,,,,0.0013110979925841093,0.0,,,,,,0.004954557400196791,0.0809842050075531,0.000129658670630306,0.014428905211389065,0.0,0.0,0.0,0.0,0.00011013276525773108,0.009932801463866115,,,
