step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,cycle_gradient_norm,joint_w4_gradient_norm
62,True,,0.014137446880340576,0.032003823667764664,,0.0,,,,,,0.004239898175001144,0.09183081984519958,0.0,0.027880463749170303,0.0,0.0,0.0,0.0,0.13357990980148315,0.0004995235963562912,,,
63,True,,0.015995973721146584,0.04153791069984436,,0.0,,,,,,0.005563744343817234,0.09234222769737244,0.0,0.031209319829940796,0.0,0.0,0.0,0.0,0.15486915409564972,0.0004995000824636769,,,
64,True,,0.01520543172955513,0.04051618278026581,,0.0,,,,,,0.005061523988842964,0.09045177698135376,0.0,0.029717296361923218,0.0,0.0,0.0,0.0,0.18374641239643097,0.0004994760028210521,,,
65,True,,0.012238739989697933,0.03489251807332039,,0.0,,,,,,0.003930560313165188,0.07141117006540298,0.0,0.023659342899918556,0.0,0.0,0.0,0.0,0.24753940105438232,0.0004994513574890987,,,
66,True,,0.01808749884366989,0.03707970306277275,,0.0,,,,,,0.007579866796731949,0.09653495252132416,0.0,0.03569165617227554,0.0,0.0,0.0,0.0,0.18317677080631256,0.0004994261465299239,,,
67,True,,0.02003391459584236,0.043987199664115906,,0.0,,,,,,0.007047249935567379,0.11286118626594543,0.0,0.03880715370178223,0.0,0.0,0.0,0.0,0.29518646001815796,0.0004994003700070605,,,
68,True,,0.01610608398914337,0.048396650701761246,,0.0,,,,,,0.004625243134796619,0.09740196168422699,0.0,0.030955489724874496,0.0,0.0,0.0,0.0,0.18243390321731567,0.0004993740279854663,,,
69,True,,0.021882936358451843,0.04855162650346756,,0.0,,,,,,0.007897789590060711,0.12380827963352203,0.0,0.042647071182727814,0.0,0.0,0.0,0.0,0.2784234285354614,0.0004993471205315245,,,
70,True,,0.014405986294150352,0.04546761512756348,,0.0,,,,,,0.0048487004823982716,0.08669906854629517,0.0,0.028379268944263458,0.0,0.0,0.0,0.0,0.23800092935562134,0.000499319647713043,,,
71,True,,0.012845227494835854,0.04330774396657944,,0.0,,,,,,0.0037246139254420996,0.08087034523487091,0.0,0.02508995309472084,0.0,0.0,0.0,0.0,0.2617633044719696,0.0004992916095992547,,,
72,True,,0.015884311869740486,0.04835384339094162,,0.0,,,,,,0.005095495842397213,0.09666505455970764,0.0,0.031129851937294006,0.0,0.0,0.0,0.0,0.15123781561851501,0.0004992630062608164,,,
73,True,,0.013687171041965485,0.043023716658353806,,0.0,,,,,,0.003970390185713768,0.080831378698349,0.0,0.026170935481786728,0.0,0.0,0.0,0.0,0.20353880524635315,0.0004992338377698102,,,
74,True,,0.015825795009732246,0.03526543825864792,,0.0,,,,,,0.0046042026951909065,0.10054075717926025,0.0,0.03083672747015953,0.0,0.0,0.0,0.0,0.1252083033323288,0.0004992041041997419,,,
75,True,,0.018498074263334274,0.042992815375328064,,0.0,,,,,,0.006652937736362219,0.10622382164001465,0.0,0.03620332479476929,0.0,0.0,0.0,0.0,0.11824379861354828,0.0004991738056255411,,,
76,True,,0.016516011208295822,0.04509281367063522,,0.0,,,,,,0.006861222442239523,0.08501161634922028,0.0,0.03232932090759277,0.0,0.0,0.0,0.0,0.17341528832912445,0.0004991429421235618,,,
77,True,,0.013147905468940735,0.04203573986887932,,0.0,,,,,,0.004881210625171661,0.07530419528484344,0.0,0.025979891419410706,0.0,0.0,0.0,0.0,0.14416812360286713,0.0004991115137715815,,,
78,True,,0.016493020579218864,0.04631107300519943,,0.0,,,,,,0.0052010961808264256,0.10242870450019836,0.0,0.03240010142326355,0.0,0.0,0.0,0.0,0.14970719814300537,0.0004990795206488007,,,
79,True,,0.008760483004152775,0.04366079717874527,,0.0,,,,,,0.002028603106737137,0.05373886227607727,0.0,0.016599580645561218,0.0,0.0,0.0,0.0,0.21402707695960999,0.0004990469628358436,,,
80,True,,0.01137719675898552,0.03786671906709671,,0.0,,,,,,0.0019134905887767673,0.08456484228372574,0.0,0.022125840187072754,0.0,0.0,0.0,0.0,0.15902255475521088,0.0004990138404147573,,,
81,True,,0.0139472596347332,0.04090776666998863,,0.0,,,,,,0.004488706588745117,0.08587662875652313,0.0,0.027432706207036972,0.0,0.0,0.0,0.0,0.10100612789392471,0.0004989801534690118,,,
82,True,,0.01996484585106373,0.03247987478971481,,0.0,,,,,,0.008268231526017189,0.10620635747909546,0.0,0.0391785129904747,0.0,0.0,0.0,0.0,0.15647557377815247,0.0004989459020834997,,,
83,True,,0.011294611729681492,0.03970196843147278,,0.0,,,,,,0.0036769581492990255,0.06432066857814789,0.0,0.021800655871629715,0.0,0.0,0.0,0.0,0.20305955410003662,0.0004989110863445358,,,
84,True,,0.012855575419962406,0.04614230617880821,,0.0,,,,,,0.002682426478713751,0.09081719815731049,0.0,0.025081144645810127,0.0,0.0,0.0,0.0,0.15072046220302582,0.0004988757063398574,,,
85,True,,0.014410528354346752,0.03872514143586159,,0.0,,,,,,0.0035897139459848404,0.09691977500915527,0.0,0.028079472482204437,0.0,0.0,0.0,0.0,0.16650749742984772,0.0004988397621586237,,,
86,True,,0.014572547748684883,0.04586010426282883,,0.0,,,,,,0.005285953637212515,0.07933245599269867,0.0,0.028250347822904587,0.0,0.0,0.0,0.0,0.2568480372428894,0.0004988032538914156,,,
87,True,,0.010914068669080734,0.03807967156171799,,0.0,,,,,,0.002874859608709812,0.06773209571838379,0.0,0.02094293385744095,0.0,0.0,0.0,0.0,0.2513011395931244,0.0004987661816302355,,,
88,True,,0.013354859314858913,0.04032815620303154,,0.0,,,,,,0.004167931154370308,0.08148819208145142,0.0,0.026074890047311783,0.0,0.0,0.0,0.0,0.1250433623790741,0.000498728545468507,,,
89,True,,0.015168079175055027,0.044906988739967346,,0.0,,,,,,0.004335954785346985,0.09891377389431,0.0,0.029844481498003006,0.0,0.0,0.0,0.0,0.167056605219841,0.0004986903455010751,,,
90,True,,0.012521382421255112,0.036321740597486496,,0.0,,,,,,0.004157026298344135,0.07712569832801819,0.0,0.024754196405410767,0.0,0.0,0.0,0.0,0.17417776584625244,0.0004986515818242053,,,
91,True,,0.012313559651374817,0.03673812001943588,,0.0,,,,,,0.00409319531172514,0.07557328790426254,0.0,0.024331465363502502,0.0,0.0,0.0,0.0,0.12970727682113647,0.0004986122545355835,,,
92,True,,0.01889970526099205,0.03860081359744072,,0.0,,,,,,0.00740783428773284,0.10493203997612,0.0,0.03718675300478935,0.0,0.0,0.0,0.0,0.12516085803508759,0.0004985723637343166,,,
93,True,,0.017877019941806793,0.04538832604885101,,0.0,,,,,,0.006763879209756851,0.1024816483259201,0.0,0.03534294664859772,0.0,0.0,0.0,0.0,0.1156243085861206,0.000498531909520931,,,
94,True,,0.014805065467953682,0.038428060710430145,,0.0,,,,,,0.004941550083458424,0.08936300873756409,0.0,0.02906719595193863,0.0,0.0,0.0,0.0,0.20945791900157928,0.000498490891997373,,,
95,True,,0.014621498063206673,0.03840457648038864,,0.0,,,,,,0.004128127358853817,0.09487175196409225,0.0,0.028620846569538116,0.0,0.0,0.0,0.0,0.15392087399959564,0.0004984493112670085,,,
96,True,,0.015290558338165283,0.031930044293403625,,0.0,,,,,,0.005039139650762081,0.09434060752391815,0.0,0.030083060264587402,0.0,0.0,0.0,0.0,0.10391724854707718,0.000498407167434623,,,
97,True,,0.011217900551855564,0.03568892925977707,,0.0,,,,,,0.0028778533451259136,0.07169028371572495,0.0,0.021621670573949814,0.0,0.0,0.0,0.0,0.15347789227962494,0.0004983644606064206,,,
98,True,,0.013024340383708477,0.03873423859477043,,0.0,,,,,,0.0037006193306297064,0.08212282508611679,0.0,0.025324584916234016,0.0,0.0,0.0,0.0,0.13479849696159363,0.0004983211908900245,,,
99,True,,0.01684814877808094,0.0362771674990654,,0.0,,,,,,0.0065473392605781555,0.09602272510528564,0.0,0.03336053341627121,0.0,0.0,0.0,0.0,0.17049090564250946,0.0004982773583944761,,,
100,True,,0.01112557016313076,0.04030882939696312,,0.0,,,,,,0.0025780806317925453,0.07731127738952637,0.0,0.02183786779642105,0.0,0.0,0.0,0.0,0.10870210081338882,0.0004982329632302354,0.045565798075417004,0.009537848346090012,0.07143745567417789
101,True,,0.014286486431956291,0.030912799760699272,,0.0,,,,,,0.004766453523188829,0.08845163881778717,0.0,0.028207233175635338,0.0,0.0,0.0,0.0,0.18261386454105377,0.00049818800550918,,,
102,True,,0.013655954971909523,0.03497759997844696,,0.0,,,,,,0.003978496417403221,0.08818337321281433,0.0,0.026802565902471542,0.0,0.0,0.0,0.0,0.20491507649421692,0.0004981424853446054,,,
103,True,,0.013861547224223614,0.042584650218486786,,0.0,,,,,,0.0041003962978720665,0.08784004300832748,0.0,0.027171794325113297,0.0,0.0,0.0,0.0,0.1044447049498558,0.0004980964028512244,,,
104,True,,0.011924861930310726,0.04133456572890282,,0.0,,,,,,0.003598372917622328,0.07437107712030411,0.0,0.023373689502477646,0.0,0.0,0.0,0.0,0.1544095128774643,0.0004980497581451668,,,
105,True,,0.015125094912946224,0.04174688458442688,,0.0,,,,,,0.004179341718554497,0.10084301233291626,0.0,0.02980620786547661,0.0,0.0,0.0,0.0,0.17184384167194366,0.0004980025513439795,,,
106,True,,0.012122128158807755,0.044073574244976044,,0.0,,,,,,0.0040032523684203625,0.07268345355987549,0.0,0.023834461346268654,0.0,0.0,0.0,0.0,0.09062441438436508,0.0004979547825666255,,,
107,True,,0.01348146703094244,0.03813024237751961,,0.0,,,,,,0.004582195542752743,0.0808565616607666,0.0,0.026530619710683823,0.0,0.0,0.0,0.0,0.17055054008960724,0.0004979064519334843,,,
108,True,,0.011381799355149269,0.024787209928035736,,0.0,,,,,,0.0032214573584496975,0.07297898083925247,0.0,0.02214902639389038,0.0,0.0,0.0,0.0,0.12504644691944122,0.0004978575595663511,,,
109,True,,0.013463841751217842,0.03601733595132828,,0.0,,,,,,0.004107740707695484,0.08315251022577286,0.0,0.02624700590968132,0.0,0.0,0.0,0.0,0.1370888352394104,0.0004978081055884371,,,
110,True,,0.013170848600566387,0.033466026186943054,,0.0,,,,,,0.0034901543986052275,0.08858130872249603,0.0,0.025853794068098068,0.0,0.0,0.0,0.0,0.1163458526134491,0.0004977580901243681,,,
