method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True,0.8,True,0.47,0.5151515151515151,posthoc view; does not retrain or change frozen checkpoint
natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True,0.82,False,0.53,0.45454545454545453,posthoc view; does not retrain or change frozen checkpoint
natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True,0.85,False,0.62,0.36363636363636365,posthoc view; does not retrain or change frozen checkpoint
natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True,0.86,False,0.67,0.31313131313131315,posthoc view; does not retrain or change frozen checkpoint
natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True,0.9,False,0.86,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8062745928764343,28.355079650878906,0.05257347494363785,0.98,0.9797979797979798,True,99,True,0.95,False,1.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True,0.8,True,0.21,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True,0.82,True,0.24,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True,0.85,True,0.37,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True,0.86,True,0.43,0.1919191919191919,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True,0.9,False,0.67,0.15151515151515152,posthoc view; does not retrain or change frozen checkpoint
natural_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8643569946289062,30.328107833862305,0.04041421864181757,0.26,0.25252525252525254,True,99,True,0.95,False,0.96,0.030303030303030304,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True,0.8,True,0.31,0.29292929292929293,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True,0.82,True,0.35,0.2727272727272727,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True,0.85,False,0.52,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True,0.86,False,0.56,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True,0.9,False,0.73,0.12121212121212122,posthoc view; does not retrain or change frozen checkpoint
natural_teacher_rounding_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8387625217437744,29.761962890625,0.04082433677278459,0.4,0.3939393939393939,True,99,True,0.95,False,0.97,0.020202020202020204,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True,0.8,True,0.43,0.5656565656565656,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True,0.82,False,0.53,0.46464646464646464,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True,0.85,False,0.62,0.37373737373737376,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True,0.86,False,0.67,0.32323232323232326,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True,0.9,False,0.83,0.16161616161616163,posthoc view; does not retrain or change frozen checkpoint
natural_joint_finetune_rtn_w4_c1.0_test,finetune_control,finetune_then_w4_all,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8071792125701904,28.665054321289062,0.04915489822626114,1.0,1.0,True,99,True,0.95,False,1.0,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True,0.8,True,0.4,0.32323232323232326,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True,0.82,False,0.51,0.26262626262626265,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True,0.85,False,0.59,0.2222222222222222,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True,0.86,False,0.6,0.21212121212121213,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True,0.9,False,0.8,0.1111111111111111,posthoc view; does not retrain or change frozen checkpoint
natural_residual_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8149128556251526,29.25605010986328,0.044151687398552894,0.5900000000000001,0.5858585858585859,True,99,True,0.95,False,0.99,0.0,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8146976232528687,29.249984741210938,0.04399243585765362,0.5800000000000001,0.5757575757575758,True,99,True,0.8,True,0.4,0.31313131313131315,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8146976232528687,29.249984741210938,0.04399243585765362,0.5800000000000001,0.5757575757575758,True,99,True,0.82,False,0.51,0.25252525252525254,posthoc view; does not retrain or change frozen checkpoint
natural_residual_cycle_qat_warm_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_plus_unpaired_natural_images,0.8146976232528687,29.249984741210938,0.04399243585765362,0.5800000000000001,0.5757575757575758,True,99,True,0.85,False,0.6,0.20202020202020202,posthoc view; does not retrain or change frozen checkpoint
