step,applied,reason,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate
146,True,,,,,8.201173841371201e-06,0.0,4.2267943172191735e-06,1.0314571227354463e-05,0.0,0.0,0.0,0.0,1.7616871161862946e-07,0.009642804536059814
147,True,,,,,7.297192041733069e-06,0.0,2.838717136910418e-06,8.716550837561954e-06,0.0,0.0,0.0,0.0,1.5133983310988697e-07,0.009637144924268341
148,True,,,,,4.1696446714922786e-05,0.0,2.418434996798169e-05,5.378862260840833e-05,0.0,0.0,0.0,0.0,8.811082921056368e-07,0.009631442710012334
149,True,,,,,5.061023784946883e-06,0.0,3.0100979984126752e-06,6.5660728978400584e-06,0.0,0.0,0.0,0.0,1.8734750995008653e-07,0.009625697952010636
150,True,,,,,4.3159566303074826e-06,0.0,1.0996080845870893e-06,4.865760729444446e-06,0.0,0.0,0.0,0.0,1.0865104371760026e-07,0.009619910709420192
151,True,,,,,5.8639161579776555e-06,0.0,1.445639554731315e-06,6.5867361627169885e-06,0.0,0.0,0.0,0.0,1.100532855957681e-07,0.009614081041835433
152,True,,,,,3.258852984799887e-06,0.0,7.99536053364136e-07,3.6586209262168268e-06,0.0,0.0,0.0,0.0,8.334904322282455e-08,0.009608209009287662
153,True,,,,,9.523266271571629e-06,0.0,3.5500247577147093e-06,1.1298278877802659e-05,0.0,0.0,0.0,0.0,2.1247473114271997e-07,0.009602294672244438
154,True,,,,,5.443861937237671e-06,0.0,2.724370006035315e-06,6.8060471676290035e-06,0.0,0.0,0.0,0.0,1.2765764267896884e-07,0.009596338091608958
155,True,,,,,3.882382588926703e-05,0.0,2.2511852876050398e-05,5.007975414628163e-05,0.0,0.0,0.0,0.0,8.30044598387758e-07,0.009590339328719418
156,True,,,,,9.664372555562295e-06,0.0,3.7423967569338856e-06,1.1535570592968725e-05,0.0,0.0,0.0,0.0,1.551187978066082e-07,0.00958429844534839
157,True,,,,,7.484324214601656e-06,0.0,2.9158618417568505e-06,8.942255590227433e-06,0.0,0.0,0.0,0.0,1.6611406294941844e-07,0.009578215503702182
158,True,,,,,2.437499915686203e-06,0.0,7.092871214808838e-07,2.7921435048483545e-06,0.0,0.0,0.0,0.0,1.176449941908686e-07,0.009572090566420204
159,True,,,,,1.0316252883058041e-05,0.0,3.950861355406232e-06,1.2291683560761157e-05,0.0,0.0,0.0,0.0,2.170101396359314e-07,0.009565923696574314
160,True,,,,,2.3675288503000047e-06,0.0,8.585277555539506e-07,2.7967926143901423e-06,0.0,0.0,0.0,0.0,1.2204765198475798e-07,0.009559714957668178
161,True,,,,,4.002096102340147e-05,0.0,2.40131194004789e-05,5.202752072364092e-05,0.0,0.0,0.0,0.0,8.766301107243635e-07,0.009553464413636602
162,True,,,,,5.708372100343695e-06,0.0,2.476918098182068e-06,6.946831035747891e-06,0.0,0.0,0.0,0.0,1.4763520539418096e-07,0.009547172128844887
163,True,,,,,3.745869889826281e-06,0.0,9.572275985192391e-07,4.224483745929319e-06,0.0,0.0,0.0,0.0,1.3927136421898467e-07,0.009540838168088168
164,True,,,,,3.421895144128939e-06,0.0,1.0915186976490077e-06,3.9676542655797675e-06,0.0,0.0,0.0,0.0,1.133160623112417e-07,0.009534462596590729
165,True,,,,,3.531637048581615e-06,0.0,1.0938412060568226e-06,4.0785575947666075e-06,0.0,0.0,0.0,0.0,1.0767799096811359e-07,0.009528045480005352
