method,role,comparison_group,threat_model,ssim,psnr,lpips,absolute_evasion,conditional_evasion,reference_valid,baseline_detected,original_quality_valid,min_ssim_view,aggregate_quality_valid,per_image_quality_violation_fraction,joint_quality_and_evasion_on_baseline_detected,interpretation
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8150022625923157,28.88941192626953,0.048370263446122407,0.9299999999999999,0.9292929292929293,True,99,False,0.85,False,0.61,0.36363636363636365,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8150022625923157,28.88941192626953,0.048370263446122407,0.9299999999999999,0.9292929292929293,True,99,False,0.86,False,0.62,0.35353535353535354,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8150022625923157,28.88941192626953,0.048370263446122407,0.9299999999999999,0.9292929292929293,True,99,False,0.9,False,0.79,0.1919191919191919,posthoc view; does not retrain or change frozen checkpoint
natural_full_finetune_fp32_test,finetune_control,fp32_unrestricted_decoder_control,marked_model_plus_unpaired_natural_images_unrestricted_finetune,0.8150022625923157,28.88941192626953,0.048370263446122407,0.9299999999999999,0.9292929292929293,True,99,False,0.95,False,1.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_only,0.9721394181251526,37.15449905395508,0.01003762240987271,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_only,0.9721394181251526,37.15449905395508,0.01003762240987271,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_only,0.9721394181251526,37.15449905395508,0.01003762240987271,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_only,0.9721394181251526,37.15449905395508,0.01003762240987271,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_only,0.9721394181251526,37.15449905395508,0.01003762240987271,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w4_c1.0_final_test,endpoint_control,w4_c1.0_all,marked_model_only,0.9721394181251526,37.15449905395508,0.01003762240987271,0.010000000000000009,0.0,True,99,True,0.95,True,0.05,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9997040033340454,56.791114807128906,0.0001805667093867669,0.010000000000000009,0.0,True,99,True,0.8,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9997040033340454,56.791114807128906,0.0001805667093867669,0.010000000000000009,0.0,True,99,True,0.82,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9997040033340454,56.791114807128906,0.0001805667093867669,0.010000000000000009,0.0,True,99,True,0.85,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9997040033340454,56.791114807128906,0.0001805667093867669,0.010000000000000009,0.0,True,99,True,0.86,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9997040033340454,56.791114807128906,0.0001805667093867669,0.010000000000000009,0.0,True,99,True,0.9,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
reconstruction_w8_c1.0_final_test,endpoint_control,w8_c1.0_all,marked_model_only,0.9997040033340454,56.791114807128906,0.0001805667093867669,0.010000000000000009,0.0,True,99,True,0.95,True,0.0,0.0,posthoc view; does not retrain or change frozen checkpoint
