step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
74,True,,mid_block,0.0,0.0,,,0.00025979531346820295,0.0,0.0,0.00025979531346820295,0.0,0.0,7.804917004250456e-06,0.01
75,True,,mid_block,0.0,0.0,,,0.00021119447774253786,0.0,0.0,0.00021119447774253786,0.0,0.0,7.919930794741958e-06,0.01
76,True,,mid_block,0.0,0.0,,,0.00018768641166388988,0.0,0.0,0.00018768641166388988,0.0,0.0,6.163552825455554e-06,0.01
77,True,,mid_block,0.0,0.0,,,0.0002589104406069964,0.0,0.0,0.0002589104406069964,0.0,0.0,9.362289347336628e-06,0.01
78,True,,mid_block,0.0,0.0,,,0.0001757563732098788,0.0,0.0,0.0001757563732098788,0.0,0.0,5.247342414804734e-06,0.01
79,True,,mid_block,0.0,0.0,,,0.00023041758686304092,0.0,0.0,0.00023041758686304092,0.0,0.0,5.6152421166189015e-06,0.01
80,True,,mid_block,0.0,0.0,,,0.00017925098654814065,0.0,0.0,0.00017925098654814065,0.0,0.0,4.036204245494446e-06,0.01
81,True,,mid_block,0.0,0.0,,,0.0002338303893338889,0.0,0.0,0.0002338303893338889,0.0,0.0,7.350828127528075e-06,0.01
82,True,,mid_block,0.0,0.0,,,0.00014782306971028447,0.0,0.0,0.00014782306971028447,0.0,0.0,4.705914307123749e-06,0.01
83,True,,mid_block,0.0,0.0,,,0.00020117330132052302,0.0,0.0,0.00020117330132052302,0.0,0.0,5.1534329941205215e-06,0.01
84,True,,mid_block,0.0,0.0,,,0.0001617825764697045,0.0,0.0,0.0001617825764697045,0.0,0.0,6.693811883451417e-06,0.01
85,True,,mid_block,0.0,0.0,,,0.00018936654669232666,0.0,0.0,0.00018936654669232666,0.0,0.0,5.953204890829511e-06,0.01
86,True,,mid_block,0.0,0.0,,,0.00016273149230983108,0.0,0.0,0.00016273149230983108,0.0,0.0,4.9672617024043575e-06,0.01
87,True,,conv_out,0.0,0.0,,,5.2304631026345305e-06,0.0,0.0,5.2304631026345305e-06,0.0,0.0,1.0275051209873709e-07,0.01
88,True,,conv_out,0.0,0.0,,,1.1669644663925283e-05,0.0,0.0,1.1669644663925283e-05,0.0,0.0,2.5790149038584786e-07,0.01
89,True,,conv_out,0.0,0.0,,,2.277054409205448e-05,0.0,0.0,2.277054409205448e-05,0.0,0.0,1.434708849501476e-07,0.01
